,Rel Hum_%,Wind Speed_km/h,Press_kPa,Weather,Visiblity
1772,95,15,102.13,Cloudy,12.9
1773,94,17,102.17,Cloudy,12.9
1774,93,20,102.18,Cloudy,12.9
1775,93,15,102.23,Cloudy,12.9
1776,92,19,102.24,Cloudy,12.9
1777,92,19,102.27,Cloudy,12.9
1778,92,13,102.29,Cloudy,12.9
1779,92,11,102.25,Cloudy,12.9
1780,92,17,102.26,Cloudy,12.9
1781,92,15,102.34,Cloudy,12.9
1782,91,20,102.36,Cloudy,16.1
1783,90,13,102.4,Cloudy,16.1
1784,89,17,102.42,Cloudy,19.3
1785,88,20,102.39,Cloudy,16.1
1786,86,22,102.31,Cloudy,19.3
1787,84,19,102.23,Cloudy,24.1
1788,81,19,102.18,Cloudy,24.1
1789,78,22,102.12,Cloudy,24.1
1790,78,22,102.05,Cloudy,24.1
1791,78,24,102.0,Mostly Cloudy,24.1
1792,78,20,101.99,Mostly Cloudy,24.1
1793,79,26,101.98,Mostly Cloudy,24.1
1794,81,22,101.98,Rain Showers,24.1
1795,82,28,101.88,Mostly Cloudy,25.0
1796,84,24,101.86,Mostly Cloudy,25.0
1797,89,28,101.8,Rain Showers,25.0
1798,89,20,101.77,Mostly Cloudy,25.0
1799,89,19,101.7,Mostly Cloudy,25.0
1800,90,19,101.67,Cloudy,25.0
1801,91,15,101.54,Rain Showers,25.0
1802,94,17,101.56,Rain,12.9
1803,96,19,101.46,Rain,6.4
1804,96,17,101.39,Rain,4.8
1805,97,20,101.36,Rain,4.8
1806,97,24,101.39,"Rain,Fog",6.4
1807,96,19,101.37,"Rain,Fog",4.8
1808,97,15,101.38,"Rain,Fog",4.0
1809,97,17,101.41,"Rain,Fog",4.0
1810,97,13,101.41,"Rain,Fog",4.8
1811,96,13,101.4,"Rain,Fog",8.0
1812,96,6,101.42,Fog,8.0
1813,97,6,101.38,Fog,9.7
1814,95,11,101.4,Fog,9.7
1815,97,7,101.48,Fog,6.4
1816,95,4,101.53,Fog,8.0
1817,94,7,101.61,Fog,8.0
1818,96,7,101.71,"Drizzle,Fog",4.8
1819,96,0,101.77,"Drizzle,Fog",3.2
1820,97,0,101.93,"Drizzle,Fog",2.0
1821,98,7,101.93,"Drizzle,Fog",3.2
1822,97,0,102.04,"Drizzle,Fog",6.4
1823,97,0,102.07,"Drizzle,Fog",3.2
1824,98,4,102.05,"Drizzle,Fog",1.6
1825,98,6,102.05,Fog,0.6
1826,99,4,102.09,Fog,0.2
1827,99,4,102.1,Fog,0.2
1828,99,0,102.15,Fog,0.2
1829,99,0,102.2,Freezing Fog,0.8
1830,98,4,102.26,Freezing Fog,0.2
1831,99,0,102.34,Fog,0.2
1832,99,0,102.39,Fog,0.2
1833,99,4,102.38,Fog,0.2
1834,100,0,102.37,Fog,0.2
1835,98,4,102.34,Fog,0.6
1836,97,4,102.32,Fog,9.7
1837,88,7,102.18,Cloudy,16.1
1838,71,7,102.13,Cloudy,24.1
1839,67,6,102.07,Cloudy,24.1
1840,65,7,102.02,Cloudy,48.3
1841,69,9,101.97,Cloudy,48.3
1842,73,7,101.95,Cloudy,48.3
1843,77,6,101.93,Cloudy,25.0
1844,76,0,101.92,Cloudy,25.0
1845,80,4,101.8,Mostly Cloudy,25.0
1846,82,0,101.77,Mainly Clear,25.0
1847,87,7,101.78,Mainly Clear,25.0
1848,93,4,101.75,Mainly Clear,25.0
1849,89,0,101.74,Mostly Cloudy,25.0
1850,91,6,101.71,Mainly Clear,25.0
1851,90,7,101.66,Clear,25.0
1852,94,6,101.69,Clear,25.0
1853,92,6,101.7,Clear,25.0
1854,93,7,101.72,Clear,24.1
1855,91,4,101.78,Mainly Clear,48.3
1856,81,11,101.79,Mainly Clear,48.3
1857,77,11,101.81,Mainly Clear,48.3
1858,70,13,101.78,Mainly Clear,48.3
1859,65,13,101.71,Clear,48.3
1860,57,11,101.63,Clear,48.3
1861,52,15,101.55,Mainly Clear,48.3
1862,49,13,101.45,Mainly Clear,48.3
1863,47,15,101.39,Mainly Clear,48.3
1864,47,11,101.35,Mainly Clear,48.3
1865,50,6,101.32,Mostly Cloudy,48.3
1866,58,9,101.32,Mostly Cloudy,48.3
1867,62,0,101.3,Mainly Clear,25.0
1868,76,7,101.34,Clear,25.0
1869,76,4,101.37,Mainly Clear,25.0
1870,78,7,101.39,Mainly Clear,25.0
1871,83,6,101.37,Mainly Clear,25.0
1872,86,6,101.37,Mainly Clear,25.0
1873,86,6,101.39,Clear,25.0
1874,87,4,101.42,Clear,25.0
1875,88,11,101.42,Clear,25.0
1876,86,6,101.49,Clear,25.0
1877,90,7,101.5,Clear,25.0
1878,88,4,101.56,Mainly Clear,24.1
1879,91,0,101.59,Mostly Cloudy,12.9
1880,88,7,101.67,Mostly Cloudy,12.9
1881,80,6,101.71,Mainly Clear,12.9
1882,74,6,101.75,Mainly Clear,16.1
1883,67,4,101.75,Mainly Clear,16.1
1884,61,4,101.75,Mainly Clear,19.3
1885,62,19,101.72,Mainly Clear,19.3
1886,63,15,101.72,Mainly Clear,24.1
1887,66,17,101.71,Mainly Clear,24.1
1888,64,11,101.66,Mainly Clear,24.1
1889,64,13,101.66,Mainly Clear,24.1
1890,67,19,101.67,Mainly Clear,24.1
1891,68,15,101.71,Mainly Clear,25.0
1892,70,13,101.8,Mainly Clear,25.0
1893,69,15,101.8,Clear,25.0
1894,66,17,101.83,Clear,25.0
1895,69,9,101.86,Clear,25.0
1896,65,11,101.85,Clear,25.0
1897,68,11,101.85,Clear,25.0
1898,69,11,101.85,Clear,25.0
1899,70,7,101.86,Clear,25.0
1900,68,4,101.88,Clear,25.0
1901,69,7,101.92,Clear,25.0
1902,76,4,101.97,Clear,24.1
1903,67,4,102.0,Clear,24.1
1904,60,6,102.08,Clear,24.1
1905,53,0,102.09,Mainly Clear,19.3
1906,50,4,102.07,Mainly Clear,24.1
1907,48,6,102.02,Clear,24.1
1908,52,9,101.98,Clear,24.1
1909,55,13,101.93,Clear,24.1
1910,54,11,101.83,Clear,24.1
1911,52,9,101.78,Clear,24.1
1912,49,7,101.73,Clear,24.1
1913,53,7,101.72,Clear,24.1
1914,60,4,101.74,Clear,24.1
1915,65,6,101.79,Clear,25.0
1916,66,4,101.85,Clear,25.0
1917,72,6,101.89,Clear,25.0
1918,77,4,101.9,Clear,25.0
1919,79,6,101.91,Clear,25.0
1920,82,9,101.9,Clear,25.0
1921,88,4,101.92,Clear,25.0
1922,91,6,101.93,Clear,25.0
1923,90,4,101.93,Clear,25.0
1924,90,0,101.95,Clear,25.0
1925,92,0,102.02,Clear,25.0
1926,94,4,102.07,Fog,9.7
1927,91,4,102.1,Fog,9.7
1928,86,9,102.15,Clear,12.9
1929,77,7,102.17,Clear,19.3
1930,69,13,102.09,Clear,24.1
1931,60,15,102.01,Clear,24.1
1932,54,15,101.94,Clear,24.1
1933,48,17,101.85,Clear,24.1
1934,45,13,101.77,Clear,24.1
1935,43,17,101.72,Clear,48.3
1936,40,17,101.69,Clear,48.3
1937,40,13,101.68,Clear,48.3
1938,49,9,101.67,Clear,48.3
1939,59,6,101.67,Clear,25.0
1940,54,7,101.7,Clear,25.0
1941,65,13,101.68,Clear,25.0
1942,62,7,101.66,Clear,25.0
1943,63,7,101.66,Clear,25.0
1944,60,13,101.63,Clear,25.0
1945,64,11,101.62,Clear,25.0
1946,66,7,101.59,Clear,25.0
1947,78,9,101.56,Clear,25.0
1948,73,6,101.54,Clear,25.0
1949,75,13,101.59,Clear,25.0
1950,73,15,101.57,Mostly Cloudy,48.3
1951,73,22,101.55,Mainly Clear,24.1
1952,70,15,101.55,Mainly Clear,24.1
1953,64,22,101.53,Mainly Clear,24.1
1954,59,17,101.57,Mainly Clear,24.1
1955,58,15,101.52,Mainly Clear,24.1
1956,50,20,101.5,Mostly Cloudy,24.1
1957,49,19,101.43,Mostly Cloudy,24.1
1958,53,17,101.4,Cloudy,24.1
1959,58,6,101.38,Cloudy,24.1
1960,53,13,101.33,Mostly Cloudy,24.1
1961,61,11,101.39,Mostly Cloudy,24.1
1962,65,19,101.48,Rain Showers,24.1
1963,62,13,101.52,Rain Showers,25.0
1964,65,11,101.58,Mainly Clear,25.0
1965,73,7,101.59,Mainly Clear,25.0
1966,75,7,101.61,Mainly Clear,25.0
1967,76,6,101.62,Clear,25.0
1968,80,7,101.67,Mainly Clear,25.0
1969,83,0,101.7,Mainly Clear,25.0
1970,85,9,101.71,Mainly Clear,25.0
1971,85,9,101.72,Mainly Clear,25.0
1972,82,7,101.76,Clear,25.0
1973,82,9,101.85,Clear,25.0
1974,77,7,101.9,Clear,25.0
1975,69,0,101.93,Clear,48.3
1976,52,0,101.93,Clear,48.3
1977,49,4,101.94,Clear,48.3
1978,37,17,101.93,Clear,48.3
1979,29,15,101.87,Clear,48.3
1980,28,11,101.81,Mainly Clear,48.3
1981,27,7,101.71,Mostly Cloudy,48.3
1982,19,15,101.66,Mostly Cloudy,48.3
1983,20,15,101.63,Mostly Cloudy,48.3
1984,18,22,101.6,Cloudy,48.3
1985,25,13,101.62,Cloudy,48.3
1986,26,13,101.64,Cloudy,48.3
1987,29,11,101.68,Mostly Cloudy,25.0
1988,30,6,101.72,Cloudy,25.0
1989,26,15,101.7,Mostly Cloudy,25.0
1990,24,19,101.73,Cloudy,25.0
1991,26,19,101.78,Mostly Cloudy,25.0
1992,28,22,101.8,Mostly Cloudy,25.0
1993,29,20,101.85,Mainly Clear,25.0
1994,29,19,101.86,Mostly Cloudy,25.0
1995,34,22,101.86,Mostly Cloudy,25.0
1996,37,13,101.88,Cloudy,25.0
1997,41,19,101.89,Cloudy,25.0
1998,41,19,101.93,Cloudy,24.1
1999,40,15,101.97,Cloudy,24.1
2000,40,19,101.98,Cloudy,24.1
2001,34,22,101.94,Cloudy,48.3
2002,37,22,101.89,Cloudy,48.3
2003,33,22,101.86,Cloudy,48.3
2004,33,19,101.8,Cloudy,48.3
2005,31,19,101.74,Cloudy,48.3
2006,34,9,101.68,Cloudy,48.3
2007,32,4,101.61,Cloudy,48.3
2008,32,7,101.53,Cloudy,48.3
2009,30,13,101.47,Cloudy,48.3
2010,31,13,101.46,Cloudy,48.3
2011,34,13,101.38,Cloudy,25.0
2012,37,9,101.35,Cloudy,25.0
2013,34,9,101.28,Cloudy,25.0
2014,35,11,101.22,Cloudy,25.0
2015,37,7,101.15,Rain Showers,25.0
2016,43,20,101.05,Rain,25.0
2017,41,13,101.03,Cloudy,25.0
2018,45,9,100.91,Rain Showers,25.0
2019,49,7,100.84,Cloudy,25.0
2020,50,19,100.79,Cloudy,25.0
2021,59,11,100.73,Cloudy,25.0
2022,71,15,100.76,Rain Showers,24.1
2023,89,17,100.76,Rain,24.1
2024,90,6,100.74,Rain,24.1
2025,92,0,100.71,"Rain,Fog",6.4
2026,92,0,100.66,Cloudy,12.9
2027,89,6,100.58,Cloudy,16.1
2028,86,6,100.54,Cloudy,24.1
2029,83,6,100.47,Cloudy,24.1
2030,79,11,100.39,Cloudy,24.1
2031,81,9,100.29,Mostly Cloudy,24.1
2032,78,9,100.27,Cloudy,24.1
2033,77,7,100.26,Cloudy,24.1
2034,80,7,100.28,Mostly Cloudy,24.1
2035,79,4,100.25,Mainly Clear,25.0
2036,85,7,100.22,Mostly Cloudy,25.0
2037,84,13,100.21,Mainly Clear,25.0
2038,87,11,100.17,Mainly Clear,25.0
2039,89,11,100.12,Mostly Cloudy,25.0
2040,78,24,100.19,Rain Showers,25.0
2041,63,33,100.29,Rain Showers,25.0
2042,63,26,100.4,Cloudy,25.0
2043,48,26,100.6,Mostly Cloudy,25.0
2044,49,22,100.74,Clear,25.0
2045,50,20,100.86,Clear,25.0
2046,47,32,101.03,Clear,24.1
2047,46,26,101.19,Mainly Clear,48.3
2048,51,26,101.27,Mostly Cloudy,48.3
2049,46,22,101.33,Mainly Clear,48.3
2050,43,26,101.32,Mainly Clear,48.3
2051,44,28,101.3,Mainly Clear,48.3
2052,41,30,101.28,Mainly Clear,48.3
2053,36,28,101.26,Mainly Clear,48.3
2054,33,28,101.24,Mainly Clear,48.3
2055,29,30,101.26,Mainly Clear,48.3
2056,27,30,101.29,Clear,48.3
2057,26,32,101.34,Clear,48.3
2058,26,24,101.43,Clear,48.3
2059,26,28,101.56,Clear,25.0
2060,25,28,101.68,Clear,25.0
2061,28,24,101.79,Clear,25.0
2062,31,28,101.84,Clear,25.0
2063,33,26,101.9,Clear,25.0
2064,35,22,101.94,Clear,25.0
2065,36,19,101.96,Clear,25.0
2066,40,17,102.02,Clear,25.0
2067,41,17,102.06,Clear,25.0
2068,42,13,102.14,Clear,25.0
2069,49,11,102.24,Clear,25.0
2070,49,9,102.31,Clear,48.3
2071,39,9,102.39,Clear,48.3
2072,34,13,102.41,Clear,48.3
2073,27,9,102.44,Clear,48.3
2074,21,0,102.48,Clear,48.3
2075,22,6,102.43,Clear,48.3
2076,27,9,102.31,Clear,48.3
2077,27,6,102.2,Mainly Clear,48.3
2078,21,13,102.06,Mainly Clear,48.3
2079,24,15,101.98,Mainly Clear,48.3
2080,30,17,101.93,Mostly Cloudy,48.3
2081,32,19,101.88,Mostly Cloudy,48.3
2082,33,15,101.79,Mostly Cloudy,48.3
2083,33,11,101.74,Mostly Cloudy,25.0
2084,35,13,101.68,Cloudy,25.0
2085,38,9,101.67,Cloudy,25.0
2086,43,20,101.47,Cloudy,25.0
2087,41,13,101.44,Cloudy,25.0
2088,41,6,101.58,Snow,16.1
2089,78,11,101.39,Snow,16.1
2090,75,13,101.28,Snow,9.7
2091,83,20,101.08,Snow,25.0
2092,84,20,100.88,Snow,25.0
2093,81,19,100.68,Cloudy,25.0
2094,79,20,100.51,Snow,24.1
2095,79,22,100.4,Snow,24.1
2096,76,19,100.25,"Snow,Ice Pellets",8.0
2097,67,15,100.08,Cloudy,48.3
2098,66,11,99.94,Cloudy,48.3
2099,70,13,99.74,Cloudy,48.3
2100,60,7,99.64,Cloudy,48.3
2101,59,9,99.51,Cloudy,48.3
2102,67,13,99.45,Rain,24.1
2103,87,19,99.42,Rain,19.3
2104,90,20,99.48,Rain,12.9
2105,91,19,99.53,Drizzle,16.1
2106,90,13,99.63,Drizzle,16.1
2107,90,11,99.74,Cloudy,12.9
2108,90,13,99.86,Fog,9.7
2109,90,15,99.92,Fog,9.7
2110,88,13,99.95,Fog,9.7
2111,88,17,99.99,Cloudy,11.3
2112,88,15,100.05,Cloudy,12.9
2113,86,11,100.12,Cloudy,12.9
2114,85,17,100.15,Cloudy,25.0
2115,84,11,100.19,Cloudy,25.0
2116,82,11,100.27,Cloudy,25.0
2117,82,9,100.35,Snow,25.0
2118,83,6,100.44,Snow,24.1
2119,84,7,100.52,Snow,24.1
2120,83,6,100.59,Snow,16.1
2121,77,9,100.64,Snow,24.1
2122,67,13,100.7,Cloudy,24.1
2123,66,9,100.71,Cloudy,24.1
2124,64,6,100.71,Cloudy,24.1
2125,62,13,100.72,Cloudy,24.1
2126,61,15,100.76,Cloudy,24.1
2127,58,19,100.81,Cloudy,24.1
2128,62,13,100.87,Cloudy,24.1
2129,57,24,100.92,Cloudy,24.1
2130,52,20,100.97,Mostly Cloudy,24.1
2131,54,19,101.01,Cloudy,25.0
2132,60,19,101.07,Cloudy,25.0
2133,55,24,101.11,Mostly Cloudy,25.0
2134,52,17,101.14,Mostly Cloudy,25.0
2135,51,24,101.17,Mostly Cloudy,25.0
2136,50,19,101.18,Mostly Cloudy,25.0
2137,51,20,101.21,Mainly Clear,25.0
2138,56,15,101.22,Clear,25.0
2139,54,19,101.25,Mainly Clear,25.0
2140,60,4,101.33,Mainly Clear,25.0
2141,66,11,101.32,Clear,24.1
2142,63,13,101.39,Clear,48.3
2143,60,15,101.52,Clear,48.3
2144,57,11,101.56,Clear,48.3
2145,54,13,101.63,Clear,48.3
2146,52,9,101.62,Clear,48.3
2147,45,4,101.57,Mostly Cloudy,48.3
2148,49,17,101.52,Mainly Clear,48.3
2149,40,6,101.38,Mainly Clear,48.3
2150,38,17,101.3,Mainly Clear,48.3
2151,36,17,101.26,Mostly Cloudy,48.3
2152,35,15,101.26,Mostly Cloudy,48.3
2153,38,15,101.24,Mostly Cloudy,48.3
2154,42,11,101.26,Mostly Cloudy,24.1
2155,49,7,101.29,Mostly Cloudy,25.0
2156,43,7,101.3,Mostly Cloudy,25.0
2157,45,4,101.32,Cloudy,25.0
2158,53,0,101.3,Mostly Cloudy,25.0
2159,51,6,101.34,Mainly Clear,25.0
2160,47,13,101.33,Mostly Cloudy,25.0
2161,44,13,101.31,Mostly Cloudy,25.0
2162,44,11,101.29,Cloudy,25.0
2163,49,13,101.3,Cloudy,25.0
2164,56,13,101.32,Cloudy,25.0
2165,52,13,101.3,Cloudy,25.0
2166,52,15,101.32,Cloudy,48.3
2167,51,19,101.32,Cloudy,48.3
2168,50,17,101.33,Cloudy,48.3
2169,50,17,101.34,Mostly Cloudy,48.3
2170,44,15,101.3,Mainly Clear,48.3
2171,35,7,101.24,Clear,48.3
2172,37,11,101.16,Clear,48.3
2173,30,9,101.08,Clear,48.3
2174,31,4,101.01,Mainly Clear,48.3
2175,30,6,100.94,Mainly Clear,48.3
2176,31,4,100.89,Mainly Clear,48.3
2177,31,6,100.88,Mainly Clear,48.3
2178,33,7,100.87,Mainly Clear,48.3
2179,36,4,100.88,Clear,25.0
2180,43,9,100.85,Clear,25.0
2181,52,7,100.86,Clear,25.0
2182,50,0,100.82,Clear,25.0
2183,54,0,100.79,Clear,25.0
2184,59,0,100.75,Clear,25.0
2185,65,4,100.77,Clear,25.0
2186,59,0,100.7,Clear,25.0
2187,68,0,100.67,Clear,25.0
2188,73,0,100.66,Mainly Clear,25.0
2189,74,4,100.65,Mostly Cloudy,25.0
2190,76,6,100.62,Cloudy,48.3
2191,70,6,100.6,Cloudy,48.3
2192,57,11,100.53,Cloudy,48.3
2193,58,9,100.49,Cloudy,48.3
2194,61,7,100.46,Cloudy,48.3
2195,70,4,100.43,Rain Showers,24.1
2196,67,0,100.35,Rain,24.1
2197,66,7,100.24,Rain,24.1
2198,77,9,100.2,Rain,24.1
2199,85,19,100.14,Rain,24.1
2200,85,17,100.1,Rain,24.1
2201,85,22,100.12,Rain,24.1
2202,85,11,100.11,Rain,24.1
2203,84,0,100.14,Rain,25.0
2204,84,11,100.18,Rain,19.3
2205,87,13,100.21,Rain,16.1
2206,88,13,100.22,Cloudy,25.0
2207,88,7,100.21,Cloudy,25.0
2208,89,11,100.22,Mainly Clear,16.1
2209,91,7,100.27,Fog,9.7
2210,90,0,100.31,Clear,12.9
2211,90,0,100.33,Fog,8.0
2212,93,4,100.38,Fog,9.7
2213,94,6,100.47,Clear,25.0
2214,88,6,100.56,Clear,24.1
2215,84,6,100.65,Clear,48.3
2216,62,13,100.69,Clear,48.3
2217,45,22,100.72,Clear,48.3
2218,38,28,100.73,Clear,48.3
2219,40,24,100.72,Clear,48.3
2220,36,17,100.65,Clear,48.3
2221,36,24,100.64,Clear,48.3
2222,32,26,100.62,Clear,48.3
2223,27,19,100.6,Clear,48.3
2224,23,28,100.59,Clear,48.3
2225,22,30,100.61,Mainly Clear,48.3
2226,22,19,100.65,Clear,48.3
2227,27,13,100.69,Clear,25.0
2228,28,13,100.75,Clear,25.0
2229,30,11,100.78,Clear,25.0
2230,36,9,100.84,Clear,25.0
2231,35,13,100.83,Clear,25.0
2232,41,6,100.84,Clear,25.0
2233,45,9,100.86,Clear,25.0
2234,39,6,100.84,Clear,25.0
2235,50,9,100.87,Clear,25.0
2236,47,13,100.92,Clear,25.0
2237,47,6,100.99,Clear,25.0
2238,45,6,101.03,Clear,48.3
2239,41,11,101.09,Clear,48.3
2240,36,19,101.08,Clear,48.3
2241,36,15,101.07,Clear,48.3
2242,34,17,100.98,Clear,48.3
2243,32,11,100.91,Mainly Clear,48.3
2244,32,11,100.82,Mostly Cloudy,48.3
2245,27,11,100.76,Mostly Cloudy,48.3
2246,25,13,100.65,Mostly Cloudy,48.3
2247,24,24,100.54,Mainly Clear,48.3
2248,24,30,100.51,Mainly Clear,48.3
2249,26,28,100.52,Mostly Cloudy,48.3
2250,26,20,100.49,Mostly Cloudy,48.3
2251,27,13,100.5,Cloudy,25.0
2252,29,9,100.42,Mostly Cloudy,25.0
2253,33,7,100.36,Mostly Cloudy,25.0
2254,32,11,100.34,Cloudy,25.0
2255,31,11,100.29,Cloudy,25.0
2256,35,9,100.22,Mostly Cloudy,25.0
2257,35,4,100.2,Cloudy,25.0
2258,36,9,100.15,Mostly Cloudy,25.0
2259,50,11,100.05,Mostly Cloudy,25.0
2260,53,7,100.01,Mostly Cloudy,25.0
2261,59,9,99.94,Mostly Cloudy,24.1
2262,59,11,99.89,Mostly Cloudy,48.3
2263,52,17,99.85,Mostly Cloudy,48.3
2264,44,20,99.83,Mostly Cloudy,48.3
2265,39,28,99.83,Mostly Cloudy,48.3
2266,41,30,99.78,Mainly Clear,48.3
2267,43,28,99.75,Mainly Clear,48.3
2268,43,24,99.71,Mostly Cloudy,48.3
2269,42,33,99.71,Cloudy,24.1
2270,43,26,99.72,Cloudy,24.1
2271,45,26,99.75,Cloudy,24.1
2272,45,20,99.75,Cloudy,24.1
2273,40,26,99.81,Mostly Cloudy,24.1
2274,42,22,99.87,Mostly Cloudy,24.1
2275,48,19,99.98,Mainly Clear,24.1
2276,49,19,100.07,Mostly Cloudy,25.0
2277,51,19,100.13,Mostly Cloudy,25.0
2278,55,19,100.2,Mostly Cloudy,25.0
2279,55,19,100.24,Mostly Cloudy,25.0
2280,55,15,100.34,Mostly Cloudy,25.0
2281,55,17,100.37,Mainly Clear,25.0
2282,55,11,100.4,Mostly Cloudy,25.0
2283,62,13,100.41,Mostly Cloudy,25.0
2284,61,17,100.47,Mostly Cloudy,25.0
2285,54,17,100.51,Mostly Cloudy,25.0
2286,52,19,100.6,Cloudy,24.1
2287,51,19,100.68,Mostly Cloudy,24.1
2288,51,20,100.72,Mostly Cloudy,24.1
2289,48,22,100.76,Mostly Cloudy,24.1
2290,41,17,100.76,Mostly Cloudy,24.1
2291,42,26,100.77,Mostly Cloudy,24.1
2292,42,22,100.74,Mostly Cloudy,24.1
2293,42,22,100.73,Mostly Cloudy,24.1
2294,39,20,100.7,Mainly Clear,24.1
2295,38,19,100.67,Mainly Clear,24.1
2296,35,24,100.65,Mainly Clear,48.3
2297,35,24,100.7,Mainly Clear,48.3
2298,37,20,100.75,Mostly Cloudy,48.3
2299,38,26,100.82,Mostly Cloudy,25.0
2300,38,19,100.87,Mostly Cloudy,25.0
2301,40,19,100.88,Mostly Cloudy,25.0
2302,42,22,100.89,Mostly Cloudy,25.0
2303,43,19,100.93,Mostly Cloudy,25.0
2304,44,22,100.97,Mostly Cloudy,25.0
2305,43,17,100.98,Mostly Cloudy,25.0
2306,46,22,101.04,Cloudy,25.0
2307,48,19,101.09,Cloudy,25.0
2308,49,17,101.13,Mostly Cloudy,25.0
2309,52,15,101.17,Mostly Cloudy,24.1
2310,51,15,101.23,Mainly Clear,48.3
2311,50,15,101.3,Clear,48.3
2312,48,19,101.34,Clear,48.3
2313,46,17,101.37,Clear,48.3
2314,42,6,101.35,Mainly Clear,48.3
2315,37,19,101.32,Clear,48.3
2316,34,20,101.24,Mainly Clear,48.3
2317,33,15,101.18,Clear,48.3
2318,29,9,101.13,Mainly Clear,48.3
2319,28,19,101.1,Mainly Clear,48.3
2320,27,28,101.08,Mostly Cloudy,48.3
2321,25,32,101.11,Mostly Cloudy,48.3
2322,25,19,101.16,Mostly Cloudy,25.0
2323,24,13,101.21,Mostly Cloudy,25.0
2324,28,11,101.24,Mostly Cloudy,25.0
2325,28,9,101.24,Cloudy,25.0
2326,27,11,101.26,Cloudy,25.0
2327,31,11,101.27,Cloudy,25.0
2328,32,11,101.28,Cloudy,25.0
2329,30,17,101.29,Mostly Cloudy,25.0
2330,37,7,101.3,Mostly Cloudy,25.0
2331,39,11,101.32,Mainly Clear,25.0
2332,39,11,101.35,Mostly Cloudy,25.0
2333,45,7,101.39,Mainly Clear,25.0
2334,44,9,101.46,Mostly Cloudy,48.3
2335,39,11,101.5,Mainly Clear,48.3
2336,36,11,101.51,Mostly Cloudy,48.3
2337,35,11,101.52,Mostly Cloudy,48.3
2338,35,17,101.54,Mostly Cloudy,48.3
2339,33,13,101.51,Mostly Cloudy,48.3
2340,34,11,101.47,Mostly Cloudy,48.3
2341,34,9,101.44,Mostly Cloudy,48.3
2342,32,9,101.39,Cloudy,48.3
2343,35,7,101.36,Mostly Cloudy,48.3
2344,34,4,101.34,Mostly Cloudy,24.1
2345,35,9,101.35,Mostly Cloudy,24.1
2346,36,7,101.35,Mostly Cloudy,25.0
2347,39,13,101.37,Mostly Cloudy,25.0
2348,39,15,101.43,Cloudy,25.0
2349,40,17,101.41,Mostly Cloudy,25.0
2350,44,15,101.36,Mostly Cloudy,25.0
2351,45,11,101.31,Mostly Cloudy,25.0
2352,45,9,101.24,Cloudy,25.0
2353,50,7,101.18,Cloudy,25.0
2354,53,4,101.11,Cloudy,25.0
2355,58,4,101.06,Cloudy,25.0
2356,55,4,101.0,Cloudy,25.0
2357,54,7,100.95,Cloudy,25.0
2358,52,7,100.91,Mostly Cloudy,48.3
2359,49,11,100.87,Mostly Cloudy,48.3
2360,47,13,100.81,Mostly Cloudy,48.3
2361,45,19,100.73,Mostly Cloudy,48.3
2362,42,22,100.61,Mostly Cloudy,48.3
2363,40,15,100.46,Mostly Cloudy,48.3
2364,37,17,100.25,Mostly Cloudy,48.3
2365,33,20,100.11,Mostly Cloudy,48.3
2366,33,20,99.97,Mostly Cloudy,48.3
2367,32,22,99.86,Mostly Cloudy,48.3
2368,31,22,99.8,Cloudy,48.3
2369,31,7,99.75,Mostly Cloudy,48.3
2370,31,19,99.69,Mostly Cloudy,25.0
2371,31,17,99.64,Mostly Cloudy,48.3
2372,35,15,99.59,Mostly Cloudy,25.0
2373,36,17,99.5,Mostly Cloudy,25.0
2374,37,19,99.42,Mostly Cloudy,25.0
2375,44,7,99.38,Cloudy,25.0
2376,46,4,99.31,Mostly Cloudy,25.0
2377,60,9,99.24,Cloudy,25.0
2378,62,9,99.19,Cloudy,25.0
2379,62,0,99.14,Cloudy,25.0
2380,62,11,99.12,Cloudy,25.0
2381,59,7,99.09,Cloudy,25.0
2382,65,13,99.1,Rain,24.1
2383,71,13,99.11,Rain,24.1
2384,81,20,99.05,Rain,24.1
2385,67,19,99.05,Rain,24.1
2386,72,28,99.07,Rain,24.1
2387,73,24,99.1,Rain,24.1
2388,77,17,99.07,Rain,24.1
2389,65,17,99.08,Rain,24.1
2390,58,19,99.11,Rain,24.1
2391,58,22,99.14,Cloudy,24.1
2392,55,17,99.19,Cloudy,24.1
2393,60,22,99.24,Cloudy,24.1
2394,76,30,99.31,Rain Showers,24.1
2395,72,28,99.34,Cloudy,25.0
2396,74,19,99.4,Mostly Cloudy,25.0
2397,73,22,99.43,Cloudy,25.0
2398,75,19,99.42,Cloudy,25.0
2399,73,20,99.42,Mostly Cloudy,25.0
2400,79,19,99.43,Cloudy,25.0
2401,83,20,99.41,Cloudy,25.0
2402,82,19,99.4,Mostly Cloudy,25.0
2403,83,17,99.37,Mostly Cloudy,25.0
2404,84,13,99.39,Mostly Cloudy,25.0
2405,84,9,99.39,Cloudy,24.1
2406,83,9,99.45,Mostly Cloudy,24.1
2407,78,9,99.48,Cloudy,24.1
2408,76,17,99.51,Rain Showers,24.1
2409,76,15,99.53,Mostly Cloudy,24.1
2410,66,20,99.56,Mostly Cloudy,24.1
2411,74,15,99.58,Rain Showers,24.1
2412,59,19,99.58,Cloudy,24.1
2413,58,22,99.6,Mostly Cloudy,24.1
2414,70,33,99.63,Rain Showers,16.1
2415,81,19,99.71,Rain Showers,24.1
